rank,name,formatted_name,nickname,position,team,adp
1,Ja'Marr Chase,JAMARR CHASE,,WR,CIN,1.16
2,Bijan Robinson,BIJAN ROBINSON,BIJAN,RB,ATL,2.44
3,Jahmyr Gibbs,JAHMYR GIBBS,,RB,DET,4.56
4,Justin Jefferson,JUSTIN JEFFERSON,JJ,WR,MIN,4.56
5,Saquon Barkley,SAQUON BARKLEY,,RB,PHI,5.38
6,CeeDee Lamb,CEEDEE LAMB,,WR,DAL,6.38
7,Malik Nabers,MALIK NABERS,,WR,NYG,9.19
8,Amon-Ra St. Brown,AMON RA ST BROWN,SUN GOD,WR,DET,9.56
9,Ashton Jeanty,ASHTON JEANTY,,RB,LV,9.81
10,Puka Nacua,PUKA NACUA,,WR,LA,10.44
11,Christian McCaffrey,CHRISTIAN MCCAFFREY,CMC,RB,SF,12.84
12,Brian Thomas,BRIAN THOMAS,BTJ,WR,JAX,13.22
13,Nico Collins,NICO COLLINS,,WR,HOU,13.88
14,Derrick Henry,DERRICK HENRY,,RB,BAL,14.0
15,De'Von Achane,DEVON ACHANE,,RB,MIA,15.38
16,Drake London,DRAKE LONDON,,WR,ATL,16.69
17,Brock Bowers,BROCK BOWERS,,TE,LV,19.19
18,Ladd McConkey,LADD MCCONKEY,,WR,LAC,20.19
19,Bucky Irving,BUCKY IRVING,,RB,TB,20.53
20,A.J. Brown,AJ BROWN,,WR,PHI,20.78
21,Josh Jacobs,JOSH JACOBS,,RB,GB,23.63
22,Jonathan Taylor,JONATHAN TAYLOR,JT,RB,IND,23.66
23,Josh Allen,JOSH ALLEN,,QB,BUF,24.66
24,Lamar Jackson,LAMAR JACKSON,,QB,BAL,24.81
25,Garrett Wilson,GARRETT WILSON,,WR,NYJ,26.88
26,Chase Brown,CHASE BROWN,,RB,CIN,27.22
27,Kyren Williams,KYREN WILLIAMS,,RB,LA,28.31
28,Trey McBride,TREY MCBRIDE,,TE,ARZ,28.38
29,Jaxon Smith-Njigba,JAXON SMITH NJIGBA,,WR,SEA,29.59
30,Rashee Rice,RASHEE RICE,,WR,KC,30.16
31,Tee Higgins,TEE HIGGINS,,WR,CIN,30.94
32,Joe Burrow,JOE BURROW,,QB,CIN,31.47
33,Jayden Daniels,JAYDEN DANIELS,JD,QB,WAS,33.75
34,Tyreek Hill,TYREEK HILL,,WR,MIA,34.47
35,Marvin Harrison,MARVIN HARRISON,,WR,ARZ,34.88
36,Breece Hall,BREECE HALL,,RB,NYJ,35.09
37,Davante Adams,DAVANTE ADAMS,,WR,LA,37.22
38,Terry McLaurin,TERRY MCLAURIN,,WR,WAS,37.72
39,Jalen Hurts,JALEN HURTS,,QB,PHI,39.41
40,Mike Evans,MIKE EVANS,,WR,TB,40.19
41,James Cook,JAMES COOK,,RB,BUF,40.22
42,DJ Moore,DJ MOORE,,WR,CHI,43.31
43,George Kittle,GEORGE KITTLE,,TE,SF,43.81
44,DK Metcalf,DK METCALF,,WR,PIT,46.84
45,Kenneth Walker,KEN WALKER,,RB,SEA,47.16
46,Chuba Hubbard,CHUBA HUBBARD,,RB,CAR,47.31
47,Xavier Worthy,XAVIER WORTHY,,WR,KC,47.5
48,Courtland Sutton,COURTLAND SUTTON,,WR,DEN,47.53
49,Omarion Hampton,OMARION HAMPTON,,RB,LAC,49.31
50,Alvin Kamara,ALVIN KAMARA,,RB,NO,49.88
51,Jameson Williams,JAMESON WILLIAMS,,WR,DET,50.56
52,DeVonta Smith,DEVONTA SMITH,,WR,PHI,52.81
53,Zay Flowers,ZAY FLOWERS,,WR,BAL,54.0
54,Tetairoa McMillan,TETAIROA MCMILLAN,,WR,CAR,54.16
55,Joe Mixon,JOE MIXON,,RB,HOU,55.63
56,Patrick Mahomes,PATRICK MAHOMES,,QB,KC,57.59
57,James Conner,JAMES CONNER,,RB,ARZ,58.66
58,Jerry Jeudy,JERRY JEUDY,,WR,CLE,60.69
59,TreVeyon Henderson,TREVEYON HENDERSON,,RB,NE,61.38
60,Sam LaPorta,SAM LAPORTA,,TE,DET,64.69
61,Chris Godwin,CHRIS GODWIN,,WR,TB,65.0
