rank,name,position,team,adp
1,Ja'Marr Chase,WR,CIN,1.16
2,Bijan Robinson,RB,ATL,2.44
3,Jahmyr Gibbs,RB,DET,4.56
4,Justin Jefferson,WR,MIN,4.56
5,Saquon Barkley,RB,PHI,5.38
6,CeeDee Lamb,WR,DAL,6.38
7,Malik Nabers,WR,NYG,9.19
8,Amon-Ra St. Brown,WR,DET,9.56
9,Ashton Jeanty,RB,LV,9.81
10,Puka Nacua,WR,LA,10.44
11,Christian McCaffrey,RB,SF,12.84
12,Brian Thomas,WR,JAX,13.22
13,Nico Collins,WR,HOU,13.88
14,Derrick Henry,RB,BAL,14.0
15,De'Von Achane,RB,MIA,15.38
16,Drake London,WR,ATL,16.69
17,Brock Bowers,TE,LV,19.19
18,Ladd McConkey,WR,LAC,20.19
19,Bucky Irving,RB,TB,20.53
20,A.J. Brown,WR,PHI,20.78
21,Josh Jacobs,RB,GB,23.63
22,Jonathan Taylor,RB,IND,23.66
23,Josh Allen,QB,BUF,24.66
24,Lamar Jackson,QB,BAL,24.81
25,Garrett Wilson,WR,NYJ,26.88
26,Chase Brown,RB,CIN,27.22
27,Kyren Williams,RB,LA,28.31
28,Trey McBride,TE,ARZ,28.38
29,Jaxon Smith-Njigba,WR,SEA,29.59
30,Rashee Rice,WR,KC,30.16
31,Tee Higgins,WR,CIN,30.94
32,Joe Burrow,QB,CIN,31.47
33,Jayden Daniels,QB,WAS,33.75
34,Tyreek Hill,WR,MIA,34.47
35,Marvin Harrison,WR,ARZ,34.88
36,Breece Hall,RB,NYJ,35.09
37,Davante Adams,WR,LA,37.22
38,Terry McLaurin,WR,WAS,37.72
39,Jalen Hurts,QB,PHI,39.41
40,Mike Evans,WR,TB,40.19
41,James Cook,RB,BUF,40.22
42,DJ Moore,WR,CHI,43.31
43,George Kittle,TE,SF,43.81
44,DK Metcalf,WR,PIT,46.84
45,Kenneth Walker,RB,SEA,47.16
46,Chuba Hubbard,RB,CAR,47.31
47,Xavier Worthy,WR,KC,47.5
48,Courtland Sutton,WR,DEN,47.53
49,Omarion Hampton,RB,LAC,49.31
50,Alvin Kamara,RB,NO,49.88
51,Jameson Williams,WR,DET,50.56
52,DeVonta Smith,WR,PHI,52.81
53,Zay Flowers,WR,BAL,54.0
54,Tetairoa McMillan,WR,CAR,54.16
55,Joe Mixon,RB,HOU,55.63
56,Patrick Mahomes,QB,KC,57.59
57,James Conner,RB,ARZ,58.66
58,Jerry Jeudy,WR,CLE,60.69
59,TreVeyon Henderson,RB,NE,61.38
60,Sam LaPorta,TE,DET,64.69
61,Chris Godwin,WR,TB,65.0
62,Jaylen Waddle,WR,MIA,65.34
63,David Montgomery,RB,DET,65.66
64,Rome Odunze,WR,CHI,65.78
65,George Pickens,WR,DAL,66.91
66,Baker Mayfield,QB,TB,67.31
67,Calvin Ridley,WR,TEN,67.47
68,RJ Harvey,RB,DEN,70.38
69,Jordan Addison,WR,MIN,71.41
70,Kaleb Johnson,RB,PIT,71.47
71,D'Andre Swift,RB,CHI,72.31
72,Chris Olave,WR,NO,73.63
73,Quinshon Judkins,RB,CLE,73.75
74,Bo Nix,QB,DEN,73.84
75,Travis Hunter,WR,JAX,74.03
76,Aaron Jones,RB,MIN,74.25
77,Jauan Jennings,WR,SF,76.66
78,Jakobi Meyers,WR,LV,77.91
79,Tony Pollard,RB,TEN,80.88
80,Isiah Pacheco,RB,KC,82.56
81,T.J. Hockenson,TE,MIN,83.25
82,Deebo Samuel,WR,WAS,84.25
83,Khalil Shakir,WR,BUF,84.88
84,Brian Robinson,RB,WAS,86.06
