TEAM,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
ARI,@NO,CAR,@SF,SEA,TEN,@IND,GB,BYE,@DAL,@SEA,SF,JAX,@TB,LAR,@HOU,ATL,@CIN,@LAR
ATL,TB,@MIN,@CAR,WSH,BYE,BUF,@SF,MIA,@NE,@IND,CAR,@NO,@NYJ,SEA,@TB,@ARI,LAR,NO
BAL,@BUF,CLE,DET,@KC,HOU,LAR,BYE,CHI,@MIA,@MIN,@CLE,NYJ,CIN,PIT,@CIN,NE,@GB,@PIT
BUF,BAL,@NYJ,MIA,NO,IE,@ATL,BYE,@CAR,KC,@HOU,TB,@HOU,@NE,CIN,@NE,@CLE,PHI,NYJ
CAR,@JAX,@ARI,ATL,@NE,MIA,DAL,@NYJ,BUF,@GB,NO,@ATL,@SF,LAR,BYE,@NO,TB,SEA,@TB
CHI,MIN,@DET,DAL,@LV,BYE,@WSH,NO,@BAL,@CIN,NYG,@MIN,PIT,@PHI,@GB,CLE,GB,@SF,DET
CIN,@CLE,JAX,@MIN,@DEN,DET,@GB,PIT,NYJ,CHI,BYE,@PIT,NE,@BAL,@BUF,BAL,@MIA,ARI,CLE
CLE,CIN,@BAL,GB,@DET,MIN,@PIT,MIA,@NE,BYE,@NYJ,BAL,@LV,SF,TEN,@CHI,BUF,PIT,@CIN
DAL,@PHI,NYG,@CHI,GB,@NO,@CAR,WSH,@DEN,ARI,BYE,@LV,PHI,KC,@CAR,MIN,LAC,@WSH,@NYG
DEN,TEN,@IND,@LAC,CIN,@PHI,@NYJ,NYG,DAL,@HOU,LV,KC,BYE,@WSH,@LV,GB,JAX,@KC,LAC
DET,@GB,CHI,@BAL,CLE,@CIN,@KC,TB,BYE,MIN,@WSH,@PHI,NYG,GB,DAL,@LAR,PIT,@MIN,@CHI
GB,DET,WSH,@CLE,@DAL,BYE,CIN,@ARI,@PIT,CAR,PHI,@NYG,MIN,@DET,CHI,@DEN,@CHI,BAL,@MIN
HOU,@LAR,TB,@JAX,TEN,@BAL,IE,@SEA,SF,DEN,JAX,@TEN,BUF,@IND,@KC,ARI,LV,@LAC,IND
IND,MIA,DEN,@TB,@LAR,LV,ARI,@LAC,TEN,@PIT,ATL,BYE,@KC,HOU,@AZ,@SEA,SF,JAX,@HOU
JAX,CAR,@CIN,HOU,@SF,KC,SEA,LAR,BYE,@LV,@HOU,LAC,@ARI,TEN,IND,NYJ,@DEN,@IND,TEN
KC,@LAC,PHI,@NYG,BAL,@JAX,DET,LV,WSH,@BUF,BYE,@DEN,IND,@DAL,HOU,LAC,@TEN,DEN,@LV
LV,@NE,LAC,@WSH,CHI,@IND,TEN,@KC,BYE,JAX,@DEN,DAL,CLE,@LAC,DEN,@PHI,@HOU,NYG,KC
LAR,HOU,@TEN,@PHI,IND,SF,@BAL,@JAX,BYE,NO,@SF,SEA,TB,@CAR,@ARI,DET,@SEA,@ATL,ARI
LAC,KC,@LV,DEN,@NYG,@WSH,@MIA,IND,MIN,@TEN,PIT,@JAX,BYE,LV,@PHI,@KC,@DAL,HOU,@DEN
MIA,@IND,NE,@BUF,NYJ,@CAR,LAC,@CLE,@ATL,BAL,BUF,WSH,BYE,NO,@NYJ,@PIT,CIN,TB,@NE
MIN,@CHI,ATL,CIN,@PIT,@CLE,BYE,PHI,@LAC,@DET,BAL,CHI,@GB,@SEA,WSH,@DAL,@NYG,DET,GB
NE,LV,@MIA,PIT,CAR,@BUF,@NO,@TEN,CLE,ATL,@TB,NYJ,@CIN,NYG,BUF,@BAL,@NYJ,MIA,NE
NO,ARI,SF,@SEA,@DAL,@NYG,NE,@CHI,TB,LAR,@CAR,BYE,ATL,@MIA,BYE,CAR,NYJ,@TEN,@ATL
NYG,@WSH,@DAL,KC,LAC,@NO,PHI,@DEN,@PHI,SF,@CHI,GB,@DET,@NE,BYE,WSH,MIN,@LV,DAL
NYJ,PIT,BUF,@TB,@MIA,DAL,DEN,CAR,@CIN,BYE,CLE,@NE,@BAL,ATL,MIA,@JAX,@NO,NE,@BUF
PHI,DAL,@KC,LAR,@TB,DEN,@NYG,@MIN,NYG,BYE,@GB,DET,@DAL,CHI,@LAC,LV,@WSH,@BUF,WSH
PIT,@NYJ,SEA,@NE,MIN,BYE,CLE,@CIN,GB,IND,@LAC,CIN,@CHI,BUF,@BAL,MIA,@DET,@CLE,BAL
SF,@SEA,@NO,ARI,JAX,@LAR,@ARI,ATL,@HOU,NYG,LAR,@ARI,CAR,@TB,TEN,@HOU,CAR,SEA,@SF
SEA,SF,@PIT,NO,@ARI,TB,@JAX,HOU,BYE,@WSH,ARI,@LAR,@TEN,MIN,@ATL,IND,LAR,@CAR,@SF
TB,@ATL,@HOU,NYJ,PHI,@SEA,SF,@DET,@NO,BYE,NE,@BUF,@LAR,ARI,NO,ATL,@CAR,@MIA,CAR
TEN,@DEN,LAR,IND,@HOU,@ARI,@LV,NE,@IND,LAC,BYE,HOU,SEA,JAX,@CLE,@SF,KC,NO,@JAX
WSH,NYG,@GB,LV,@ATL,@LAC,CHI,@DAL,@KC,SEA,DET,@MIA,BYE,DEN,@MIN,@NYG,PHI,DAL,@PHI
